,id,name,street_address,zipcode,austin_area,untappd_website,latitude,longitude
0,0,4th Tap Brewing Cooperative,10615 Metric Boulevard,78758,North,https://untappd.com/4thTap/beer,30.3851792,-97.7119783
1,1,Adelbert’s Brewery,2314 Rutland Drive,78758,North,https://untappd.com/adelbertsbrewery/beer,30.3823917,-97.7199028
2,2,Austin Beerworks,3001 Industrial Terrace,78758,North,https://untappd.com/austinbeerworks/beer,30.3795473,-97.72978909999999
3,3,Black Star Co-Op,7020 Easy Wind Drive,78752,North,https://untappd.com/BlackStarCo-op/beer,30.3382665,-97.71888249999999
4,4,Brewtorium,6015 Dillard Circle,78752,North,https://untappd.com/Brewtorium/beer,30.3259178,-97.71682709999999
5,5,Celis Brewing,10001 Metric Boulevard,78758,North,https://untappd.com/CelisBrewery/beer,30.3797326,-97.7161842
6,6,Circle Brewing,2340 W Braker Lane,78758,North,https://untappd.com/circlebrewing/beer,30.3911437,-97.71535999999999
7,7,Draught House,4112 Medical Parkway,78756,North,https://untappd.com/Draught_House/beer,30.3110705,-97.7428734
8,8,Hopsquad Brewing,2307 Kramer Lane,78758,North,https://untappd.com/w/hopsquad-brewing-co/437694/beer,30.390927,-97.7145961
9,9,Flying Man Brewing,2400 Patterson Industrial Drive,78660,North,https://untappd.com/FlyingManBrewing/beer,30.402053,-97.628392
10,10,Oskar Blues,10420 Metric Boulevard,78758,North,https://untappd.com/oskarblues/beer,30.384296,-97.7146899
11,11,Pinthouse Pizza,4729 Burnet Road,78756,North,https://untappd.com/PinthousePizza/beer,30.3186897,-97.7389967
12,12,Bluebonnet Beer Company,1700 Bryant Dr. #107,78664,Northern Suburbs,https://untappd.com/BluebonnetBeerCo/beer,30.4919127,-97.64708510000001
13,13,Bull Creek Brewing,7100 FM 3405,78642,Northern Suburbs,https://untappd.com/w/bull-creek-brewing/208827/beer,30.7055754,-97.87089879999999
14,14,Compadre Brewing,16920 Joe Barbee Drive Bldg 1,78664,Northern Suburbs,https://untappd.com/CompadreBrewing/beer,30.4702644,-97.66450499999999
15,15,Flix Brewhouse,2200 S Interstate 35 B1,78681,Northern Suburbs,https://untappd.com/FlixBrewhouse/beer,30.4884644,-97.67966969999999
16,16,Humble Pint Brewing Co.,11880 Hero Way W Suite 208,78641,Northern Suburbs,https://untappd.com/w/humble-pint-brewing-co/463104/beer,30.57798739999999,-97.8692995
17,17,Pinthouse Pizza,2800 Hoppe Trail,78681,Northern Suburbs,https://untappd.com/PinthousePizza/beer,30.5395656,-97.6943
18,18,Red Horn Coffee House & Brewing Co.,13010 W. Parmer Ln. #800,78613,Northern Suburbs,https://untappd.com/RedHornBrewZack/beer,30.5338194,-97.7808235
19,19,Rentsch Brewery,2500 NE Inner Loop,78626,Northern Suburbs,https://untappd.com/RentschBrewery/beer,30.6670585,-97.65679209999999
20,20,San Gabriel River Brewery,500 Chaparral Drive,78641,Northern Suburbs,https://untappd.com/w/san-gabriel-river-brewery/273321/beer,30.7130636,-97.9015718
21,21,Whitestone Brewery,601 E. Whitestone Blvd. #500,78613,Northern Suburbs,https://untappd.com/WhitestoneBrewery/beer,30.5238328,-97.8252258
22,22,Central District Brewing,417 Red River Street,78701,Central/Downtown,https://untappd.com/CentralDistrictBrewing/beer,30.26527579999999,-97.7375225
23,23,Holdout Brewin,1208 W 4th Street,78703,Central/Downtown,https://untappd.com/HoldOutBrewing/beer,30.27138639999999,-97.75894459999999
24,24,(512) Brewing,407 Radam Lane,78745,South,https://untappd.com/512Brewing/beer,30.2229723,-97.7701519
25,25,Austin Beer Garden & Brewery (ABGB),1305 W Oltorf Street,78704,South,https://untappd.com/ABGB/beer,30.2453869,-97.7688519
26,26,Independence Brewing,3913 Todd Lane #607,78744,South,https://untappd.com/indybrewing/beer,30.2111852,-97.7360738
27,27,Nomadic Beerworks,3804 Woodbury Drive Suite A,78704,South,https://untappd.com/NomadicBeerworks/beer,30.2244374,-97.76055769999999
28,28,Orf Brewing,4700-F Burle­son Road,78744,South,https://untappd.com/OrfBrewing/beer,30.2129385,-97.7307144
29,29,Pinthouse Pizza,4236 S Lamar Boulevard,78704,South,https://untappd.com/PinthousePizza/beer,30.2360918,-97.7958819
30,30,St Elmo Brewing,440 E St Elmo Road,78745,South,https://untappd.com/StElmoBrewingCompany/beer,30.2174931,-97.7612044
31,31,Thirsty Planet Brewing,8201 S Congress Avenue,78745,South,https://untappd.com/thirstyplanet/beer,30.1755719,-97.7833058
32,32,Batch Brewhouse,3220 Manor Road,78723,East,https://untappd.com/w/batch-craft-beer-kolaches/388953/beer,30.2871899,-97.7031361
33,33,Blue Owl Brewing,2400 E Cesar Chavez Street,78702,East,https://untappd.com/BlueOwlBrewing/beer,30.2545583,-97.71676939999999
34,34,Central Machine Works Brewery and Beer Hall,4824 E Cesar Chavez Street,78702,East,https://untappd.com/w/central-machine-works/449899/beer,30.2520225,-97.7015778
35,35,Friends & Allies Brewing,979 Springdale Road,78702,East,https://untappd.com/FriendsAndAllies/beer,36.1571383,-86.8158069
36,36,Hi Sign Brewing,1201 Bastrop Highway,78742,East,https://untappd.com/Hi_Sign/beer,30.226702,-97.6801655
37,37,Hops and Grain,507 Calles Street,78702,East,https://untappd.com/hopsandgrain/beer,30.2582235,-97.7117686
38,38,Lazarus Brewing,1902 E 6th Street,78702,East,https://untappd.com/LazarusBrewingCo/beer,30.2617385,-97.722008
39,39,Live Oak Brewing,1615 Crozier Lane,78617,East,https://untappd.com/LiveOakBrewingCompany/beer,30.2210041,-97.6612735
40,40,Oddwood Ales,3108 Manor Road,78723,East,https://untappd.com/OddwoodAles/beer,30.2868725,-97.7053361
41,41,Southern Heights Brewing,6014 Techni Center Drive,78721,East,https://untappd.com/SHBC/beer,30.2770706,-97.6694236
