brewery_id,name,type,abv,ibu,rating,rating_count
17,Cactus Blaster,IPA - Triple New England,10.5,,4.39,196
17,Make Your Mark,Stout - Imperial / Double,10.8,,4.38,21
17,Elastic Slacks,Stout - Imperial / Double,12.5,,4.37,32
18,Port Whiskey Barrel Aged Suburban Ninja W/ Vanilla (2019),Stout - Imperial / Double,14.84,50.0,4.36,114
18,The S.O.N. Double Stout W/ Cold Brew Coffee,Stout - Imperial / Double,7.0,30.0,4.35,32
18,The S.O.N. Double Stout W/ Brett And Plums,Stout - Other,8.5,50.0,4.32,45
18,Tequila Barrel Aged Mexican Chocolate Suburban Ninja,Stout - Imperial / Double Milk,12.0,50.0,4.32,196
18,Bourbon Barrel Aged Suburban Ninja,Stout - Imperial / Double,12.0,50.0,4.3,206
19,Apple Strudel Oktoberfest,Märzen,5.8,,4.39,21
19,Strawberry Blonde,Blonde Ale,5.2,15.0,4.33,13
19,LaLa's Lemonade,Mead - Other,,,4.21,12
19,Nitro IPA,IPA - American,6.5,65.0,4.17,12
19,Bourbon Barrel Aged Prussian Imperial Stout,Stout - Russian Imperial,12.0,20.0,4.13,480
20,Wee Heavy,Scotch Ale / Wee Heavy,8.0,30.0,3.74,68
20,Irish Coffee Porter,Porter - English,9.48,39.0,3.73,112
20,Weiss,Wheat Beer - Witbier,3.53,11.0,3.59,24
20,Christmas Spiced Ale,Winter Ale,7.98,22.0,3.55,15
20,Honey Porter,Porter - Other,7.92,39.0,3.53,165
21,Belgian Quad Aged In Rum And Bourbon Barrels - Quadrivium Series (3rd of 4),Belgian Quadrupel,10.0,23.0,4.25,63
21,Cabernet Sauvignon Barrel-aged Cedrela Hefeweizen,Hefeweizen,6.0,8.0,4.19,12
21,Slappin' Da Bass W/ Ancho Chile and Toasted Coconut,Stout - Russian Imperial,10.5,70.0,4.18,25
21,Belgian Quad aged In Treaty Oak Rum barrels - Quadrivium Series (2nd of 4),Belgian Quadrupel,10.0,23.0,4.17,65
21,Belgian Quad aged in Madeira Barrels - Quadrivium Series (4th of 4),Belgian Quadrupel,10.0,23.0,4.16,37
22,Gumdrop Buttons,Stout - American,5.9,,4.05,24
22,Hooked On A Feeling,IPA - Imperial / Double New England,8.1,,4.03,23
22,Gauchito Gil,Sour - Fruited,5.5,,3.97,44
22,"Baby, Don’t Hurt Me",Sour - Fruited,5.9,,3.97,45
22,Coco Rico,Stout - Other,5.9,,3.95,40
23,No'Quango,IPA - Milkshake,6.1,28.0,4.22,25
23,Liquid Television,Pale Ale - New England,6.1,46.0,4.1,258
23,P.R.E.A.M,IPA - Milkshake,6.1,,4.04,20
23,Juicy Boots,IPA - American,7.1,53.0,4.02,73
23,Black Is Beautiful,Stout - Imperial / Double,10.0,,3.98,88
24,512 Rum Barrel Aged Russian Imperial Stout,Stout - Russian Imperial,10.4,,4.27,26
24,WBADPP From A Whiskey Barrel,Porter - American,9.5,,4.22,52
24,Imperial Stout With Dark Cherries,Stout - Imperial / Double,,,4.21,12
24,(512) Whiskey Barrel Aged Double Pecan Porter,Porter - Imperial / Double,9.5,30.0,4.2,8388
24,IPA Dry Hopped With Calyspo,IPA - American,6.5,,4.19,16
25,Jason Dateman,Sour - Fruited,9.0,,4.12,37
25,I WUZ Gonna Go To the Gym...,IPA - American,6.2,50.0,4.04,17
25,Capt. Ivan Drago,Stout - Russian Imperial,10.0,45.0,4.02,613
25,Y.S.B. #8 Violet Beauregarde,Sour - Other,3.8,,3.94,253
25,Cherry Cherry Boom Boom,Sour - Flanders Red Ale,9.5,,3.93,53
26,Redbud Paloma,Sour - Berliner Weisse,4.9,12.0,4.3,11
26,Convict Hill BBA Stout (Garrison Bros.) 2019,Stout - Imperial / Double Oatmeal,10.5,25.0,4.11,22
26,Busted For Possession,Stout - Oatmeal,,,4.04,12
26,Highboy Southern Hemi,IPA - Imperial / Double,9.0,100.0,4.0,22
26,Highboy Hawaiian,IPA - Imperial / Double,9.0,100.0,3.89,1169
27,Three Rotations,Stout - Imperial / Double,9.1,,4.1,142
27,Surface Interval,IPA - Milkshake,7.5,,4.09,66
27,All Together,IPA - American,7.5,25.0,4.06,34
27,7 Deadly Stills,Scottish Ale,8.2,,4.04,81
27,Black Is Beauitful,Stout - Imperial / Double,10.0,,4.01,39
28,Orfo De Mayo - Mole Poblano Saison,Farmhouse Ale - Saison,,,4.12,13
28,Rhum Porter,Porter - American,6.8,,3.85,84
28,Amber Roast,Honey Beer,6.2,32.0,3.85,26
28,Maple Aged Orftoberfest,Märzen,5.2,39.0,3.72,34
28,Loquatious,Bock - Hell / Maibock / Lentebock,5.6,,3.65,35
29,Jaguar Shark Brewers Reserve 2018,Stout - Imperial / Double,10.5,,4.48,73
29,Emilio,IPA - Triple,10.5,,4.47,513
29,Cactus Blaster,IPA - Triple New England,10.5,,4.39,196
29,Make Your Mark,Stout - Imperial / Double,10.8,,4.38,21
29,Elastic Slacks,Stout - Imperial / Double,12.5,,4.37,32
30,Woke,Stout - Imperial / Double,12.0,,4.16,250
30,Baby Ruth,Barleywine - English,13.5,,4.14,126
30,Bravado,Stout - Imperial / Double,13.0,,4.14,37
30,Collins,Sour - Other,,,4.12,84
30,Neo,Stout - Imperial / Double,,,4.11,110
31,Belgian Dark Strong Ale,Belgian Strong Dark Ale,9.8,,4.17,12
31,Stout Like A Tiger,Stout - American,,,4.02,15
31,Homebrewer's Guide To the Galaxy,IPA - American,6.4,,4.01,41
31,Wild Season,American Wild Ale,7.66,25.0,3.99,26
31,Double Buckethead,IPA - Imperial / Double,11.9,100.0,3.95,794
32,Azios,American Wild Ale,,,4.49,12
32,Calcifer,IPA - New England,6.66,,4.33,134
32,Symbiotic IPA,IPA - Imperial / Double New England,8.5,,4.3,71
32,Stardust,IPA - New England,7.5,,4.27,80
32,"Double Low Key Loki - Galaxy, Topaz and Citra",IPA - Imperial / Double New England,8.2,,4.27,92
33,Bossjito,Sour - Other,3.8,7.0,4.35,10
33,Tropicali Tea,Sour - Other,3.8,,4.32,11
33,RedRum,Sour - Other,3.4,7.0,4.2,14
33,Warhead Sour - Black Cherry & Blue Raspberry,Sour - Berliner Weisse,3.4,,4.18,22
33,Tiny Barrel Series: Peary & David,American Wild Ale,3.8,7.0,4.13,12
34,Mosaic IPA,IPA - American,6.0,50.0,3.72,222
