,Brewery_ID,Name,Type,ABV,IBU,Rating,Rating_Count
128,25,Industry Pils,Pilsner - German,4.9,40.0,3.67,3073
129,25,Day Trip Pale Ale,Pale Ale - American,5.5,39.0,3.64,2996
130,26,Stash IPA,IPA - American,7.5,94.0,3.73,38733
131,26,Austin Amber,Red Ale - American Amber / Red,6.0,32.0,3.47,25128
132,26,Convict Hill,Stout - Oatmeal,8.0,25.0,3.8,16161
133,26,Redbud,Sour - Berliner Weisse,4.9,12.0,3.62,11791
134,26,Power & Light Session IPA,IPA - Session / India Session Ale,5.5,42.0,3.55,10390
135,27,Peak Season,IPA - New England,6.6,,3.91,589
136,27,Sunrise Getdown,Kölsch,5.3,28.0,3.71,319
137,27,South Swell,IPA - American,7.7,40.0,3.74,178
138,27,Floating Market,Farmhouse Ale - Saison,6.8,,3.79,173
139,27,Dad Stance,IPA - Milkshake,7.0,,3.74,161
140,28,Oocheenama,Wheat Beer - Other,5.4,16.0,3.64,392
141,28,Hoprocker IRA,Red Ale - American Amber / Red,6.5,62.0,3.47,241
142,28,Salutation Ale,Golden Ale,5.6,28.0,3.55,213
143,28,Honey Roast,Brown Ale - Other,6.2,32.0,3.53,128
144,28,Zaydorf,Dark Ale,6.2,32.0,3.59,114
145,29,Electric Jellyfish,IPA - New England,6.5,,4.1,20581
146,29,Training Bines,IPA - American,7.2,,4.06,4209
147,29,Man O' War,IPA - American,6.5,,3.86,4146
148,29,Bearded Seal,Stout - Irish Dry,6.1,,3.76,2726
149,29,Fully Adrift,IPA - Imperial / Double,10.5,,4.16,2271
150,30,Carl,Kölsch,4.6,27.0,3.58,3363
151,30,Slater,IPA - American,7.4,50.0,3.78,1511
152,30,Chico,Pale Ale - American,5.3,30.0,3.6,1415
153,30,Angus,Stout - Irish Dry,5.1,25.0,3.63,1367
154,30,Jan,IPA - International,7.0,45.0,3.64,969
155,31,Thirsty Goat Amber,Red Ale - American Amber / Red,6.8,30.0,3.6,26099
156,31,Buckethead IPA,IPA - American,8.9,81.0,3.63,14853
157,31,Yellow Armadillo Wheat,Wheat Beer - American Pale Wheat,4.0,18.0,3.35,3037
158,31,Silverback Pale Ale,Pale Ale - American,5.5,,3.55,1502
159,31,Smittlefest,Märzen,7.0,18.0,3.67,1466
160,32,Race Pointe,IPA - New England,8.0,55.0,3.79,1041
